id,stock_code,stock_name,price
318,310870,디와이씨,1450
319,104460,디와이피엔에프,40900
320,79810,디이엔티,9920
321,113810,디젠스,1000
322,43360,디지아이,3510
323,197140,디지캡,3460
324,68930,디지털대성,6520
325,33130,디지틀조선,2350
326,105740,디케이락,11950
327,263020,디케이앤디,3045
328,290550,디케이티,8900
329,187220,디티앤씨,4935
330,131180,딜리,1420
331,315640,딥노이드,5900
332,317120,라닉스,5740
333,42510,라온시큐어,2405
334,232680,라온테크,9710
335,300120,라온피플,4635
336,171120,라이온켐텍,9110
337,69540,라이트론,2960
338,347700,라이프시맨틱스,4210
339,214260,라파스,19100
340,200350,래몽래인,20500
341,171010,램테크놀러지,5520
342,84650,랩지노믹스,6910
343,217500,러셀,2955
344,141080,레고켐바이오,34850
345,60300,레드로버,36
346,38390,레드캡투어,18650
347,294140,레몬,3915
348,228670,레이,18650
349,228850,레이언스,9620
350,412350,레이저쎌,7460
351,281740,레이크머티리얼즈,5630
352,277810,레인보우로보틱스,29700
353,215100,로보로보,6210
354,90360,로보스타,17700
355,108490,로보티즈,23550
356,900260,로스웰,275
357,67730,로지시스,4415
358,71280,로체시스템즈,7230
359,328130,루닛,25400
360,38060,루멘스,1080
361,85370,루트로닉,18300
362,08537M,루트로닉3우C,25700
363,60240,룽투코리아,2900
364,58470,리노공업,136600
365,39980,리노스,930
366,19570,리더스 기술투자,531
367,16100,리더스코스메틱,2620
368,12700,리드코프,7640
369,302550,리메드,11950
370,377450,리파인,7190
371,277070,린드먼아시아,3630
372,42500,링네트,3960
373,219420,링크제니시스,5400
374,195500,마니커에프앤지,3175
375,305090,마이크로디지탈,3850
376,98120,마이크로컨텍솔,5410
377,147760,마이크로프랜드,4000
378,377480,마인즈랩,11350
379,38290,마크로젠,20550
380,267980,매일유업,47350
381,5990,매일홀딩스,8380
382,93520,매커스,6880
383,377030,맥스트,10900
384,100590,머큐리,5830
385,67280,멀티캠퍼스,35550
386,72870,메가스터디,10950
387,215200,메가스터디교육,82300
388,133750,메가엠디,2805
389,235980,메드팩토,23550
390,41920,메디아나,4700
391,14100,메디앙스,3025
392,54180,메디콕스,8690
393,86900,메디톡스,105200
394,78160,메디포스트,14850
395,65650,메디프론,1320
396,21880,메이슨캐피탈,377
397,140410,메지온,13350
398,241770,메카로,10550
399,59210,메타바이오메드,2180
400,58110,멕아이씨에스,4120
401,96640,멜파스,1495
402,257370,명성티엔에스,9210
403,80420,모다이노칩,3095
404,417970,모델솔루션,22350
405,80160,모두투어,15100
406,87260,모바일어플라이언스,3345
407,101330,모베이스,2940
408,12860,모베이스전자,1340
409,363260,모비데이즈,852
410,348030,모비릭스,12700
411,250060,모비스,1715
412,288980,모아데이타,2035
413,33200,모아텍,6000
414,333050,모코엠시스,1555
415,118990,모트렉스,15400
416,6920,모헨즈,3805
417,1810,무림SP,2610
418,279600,미디어젠,10800
419,95500,미래나노텍,15350
420,218150,미래생명자원,4920
421,353490,미래에셋대우스팩 5호,2030
422,100790,미래에셋벤처투자,4250
423,412930,미래에셋비전스팩1호,2020
424,49950,미래컴퍼니,21150
425,207760,미스터블루,4800
426,59090,미코,9070
427,214610,미코바이오메드,5920
428,201490,미투온,4630
429,950190,미투젠,14300
430,206640,바디텍메드,10600
431,18700,바른손,2415
432,35620,바른손이앤에이,824
433,64520,바른전자,5740
434,53030,바이넥스,11450
